director,receita_total_bi,nota_metadata_media,nota_usuarios_media,qtd_filmes
Oliver Hirschbiegel,0.13,6.42,3.49,4
Mike Flanagan,0.13,6.1,2.83,3
Robert Iscove,0.13,4.7,3.34,3
Reginald Hudlin,0.13,5.55,2.77,4
James Marsh,0.13,7.0,3.5,3
Stanley Kramer,0.13,7.4,3.8,3
Craig Gillespie,0.13,6.5,3.22,4
Niki Caro,0.13,7.12,3.73,4
Jane Campion,0.12,6.22,2.25,4
Lawrence Kasdan,0.12,6.27,3.23,3
Miguel Arteta,0.12,6.03,3.29,3
Barbet Schroeder,0.12,6.48,2.92,4
Tamra Davis,0.12,5.88,2.94,4
Patricia Riggen,0.12,6.6,4.0,3
John Milius,0.12,6.4,3.04,4
Stan Dragoti,0.12,5.67,3.66,3
Fyodor Bondarchuk,0.12,5.55,,4
Nicholas Hytner,0.12,6.25,3.79,4
Wong Kar-wai,0.12,6.88,3.69,5
Denzel Washington,0.12,6.77,3.31,3
Robert Benton,0.12,6.27,3.32,3
Peter Webber,0.12,6.17,3.0,3
Tom McCarthy,0.12,7.2,3.76,4
Zach Braff,0.12,6.7,3.63,3
David Wain,0.12,6.03,2.73,3
David Lynch,0.12,7.36,3.53,9
John Wells,0.12,6.53,2.5,3
John Stockwell,0.11,5.7,2.7,4
Daniel Alfredson,0.11,6.57,3.11,3
Franco Zeffirelli,0.11,6.2,3.32,4
Thomas Gilou,0.11,6.0,,3
Jeff Wadlow,0.11,6.13,2.86,3
William Dear,0.11,5.8,2.78,5
Mark Rydell,0.11,6.53,3.57,6
Stephen Gaghan,0.11,5.83,3.34,3
Don Siegel,0.11,6.82,2.97,6
Jodie Foster,0.11,6.33,2.55,3
S. Shankar,0.11,6.65,,4
Danny DeVito,0.11,6.27,2.95,3
Sam Peckinpah,0.11,6.79,3.38,8
Hugh Hudson,0.11,6.18,3.72,4
Anton Corbijn,0.11,6.6,2.42,3
Kimberly Peirce,0.11,6.37,3.7,3
Jonathan Kaplan,0.1,5.7,3.08,4
David E. Talbert,0.1,5.43,,3
David S. Ward,0.1,5.97,2.67,3
Mike Figgis,0.1,6.02,2.22,5
Bernardo Bertolucci,0.1,6.82,3.55,5
Bryan Spicer,0.1,5.07,2.13,3
Michael Pressman,0.1,5.63,2.63,3
Xavier Gens,0.1,5.43,2.5,3
Lone Scherfig,0.1,6.72,3.92,4
John Hillcoat,0.1,6.57,3.13,4
Alejandro Amenábar,0.1,6.8,3.69,5
Craig Brewer,0.1,6.63,3.08,3
John Carney,0.1,7.57,3.85,3
Matthew Robbins,0.1,6.22,2.57,4
Robert Aldrich,0.1,6.63,3.67,3
Andrei Konchalovsky,0.1,5.33,3.54,6
Michael Lehmann,0.1,5.72,3.05,5
Billy Wilder,0.1,7.68,3.82,11
Mark L. Lester,0.1,5.92,3.22,5
John Schultz,0.09,5.4,3.04,3
Michael Cimino,0.09,6.85,3.53,4
Akiva Schaffer,0.09,6.07,2.5,3
Nicolas Winding Refn,0.09,6.44,3.35,5
Rick Famuyiwa,0.09,6.75,2.32,4
James Ivory,0.09,6.24,3.37,7
Paul Michael Glaser,0.09,6.25,2.97,4
Sanjay Leela Bhansali,0.09,7.33,4.5,3
Arthur Penn,0.09,7.25,3.96,4
Steve Rash,0.09,6.06,3.3,5
Lars von Trier,0.09,7.01,3.83,8
Sean Penn,0.09,6.87,3.56,3
Karan Johar,0.09,7.02,3.0,4
John Ford,0.09,6.76,3.92,10
Michael Winner,0.08,6.34,2.52,5
Brad Anderson,0.08,6.42,3.42,6
Karyn Kusama,0.08,5.52,2.68,4
Ted Post,0.08,6.42,3.14,4
Michael Haneke,0.08,6.98,3.62,5
Martin Ritt,0.08,6.47,3.65,6
Andrew Fleming,0.08,5.84,2.73,5
Charles Stone III,0.08,5.87,2.75,3
Michael Anderson,0.08,6.2,3.33,3
Mark Pellington,0.08,6.0,3.54,5
Fred Schepisi,0.08,6.25,3.22,6
Mark Rosman,0.08,5.97,3.5,3
Gina Prince-Bythewood,0.08,7.3,3.58,3
John Herzfeld,0.08,5.73,1.72,3
Mary Lambert,0.08,5.37,2.58,3
Fred Zinnemann,0.08,7.42,3.88,4
Roland Joffé,0.08,6.16,3.42,5
Peter Bogdanovich,0.08,6.5,3.72,6
Derek Cianfrance,0.08,6.87,3.82,3
Sanaa Hamri,0.08,6.1,2.92,3
